,Unnamed: 0,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
34465,331832,110212276,2011-06-14,2011-06-09,800,2,Rampart,211,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,10.0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,4200    ROSEWOOD                     AV,,"(34.0791, -118.2956)"
133041,1470462,170908496,2017-03-30,2017-03-30,150,9,Van Nuys,989,310,BURGLARY,0344 1609 0314 0324 0326 0329 0358,,X,X,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310.0,998.0,,,13800    VENTURA                      BL,,"(34.1485, -118.4335)"
58815,1327906,161224500,2016-10-01,2016-10-01,1945,12,77th Street,1232,350,"THEFT, PERSON",0346 1251 1402 1822,14.0,F,W,402.0,MARKET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,350.0,,,,3300 W  SLAUSON                      AV,,"(33.989, -118.3294)"
67250,621556,121219352,2012-08-08,2012-08-08,1940,12,77th Street,1263,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0319 1822 0443 1309 0416 0338,27.0,F,H,108.0,PARKING LOT,307.0,VEHICLE,IC,Invest Cont,230.0,,,,8400 S  WESTERN                      AV,,"(33.9627, -118.309)"
102763,1346270,161414456,2016-05-21,2016-05-18,1500,14,Pacific,1443,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344 1300,23.0,F,H,504.0,OTHER RESIDENCE,,,IC,Invest Cont,341.0,,,,600    VENEZIA                      AV,,"(33.9896, -118.4597)"
27772,1418338,162111429,2016-06-08,2016-05-19,1200,21,Topanga,2183,354,THEFT OF IDENTITY,0924,51.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,23300    MULHOLLAND                   DR,,"(34.1571, -118.6349)"
10158,1030645,150409548,2015-05-08,2015-05-08,710,4,Hollenbeck,469,210,ROBBERY,1312 0302 0355 1311 0344 0377 0202 0216 1309,22.0,M,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210.0,,,,4TH                          ST,LORENA                       ST,"(34.034, -118.1969)"
115461,613699,121205001,2012-01-15,2012-01-15,1300,12,77th Street,1215,888,TRESPASSING,0319 1822,33.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888.0,,,,1500 W  55TH                         ST,,"(33.9924, -118.3024)"
26170,178376,101919029,2010-08-12,2010-08-11,2130,19,Mission,1901,624,BATTERY - SIMPLE ASSAULT,0416,66.0,M,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,16000    SPUR RIDGE                   RD,,"(34.3233, -118.4827)"
5611,863637,140901206,2014-09-27,2014-09-27,1130,9,Van Nuys,989,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1243 0444 0429,24.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,4300    VENTURA CANYON               AV,,"(34.1478, -118.4296)"
130866,578476,120806477,2012-02-28,2012-02-26,1330,8,West LA,886,330,BURGLARY FROM VEHICLE,0344 1300 1601,58.0,F,W,104.0,DRIVEWAY,,,IC,Invest Cont,330.0,,,,3000    CLUB                         DR,,"(34.0375, -118.4005)"
20524,970500,142006528,2014-02-25,2014-02-22,1730,20,Olympic,2015,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1202,64.0,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745.0,,,,100 N  NORMANDIE                    AV,,"(34.0738, -118.3004)"
21601,1414084,162100811,2016-04-29,2016-04-28,1800,21,Topanga,2111,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1402 1606 0344,68.0,M,W,104.0,DRIVEWAY,,,IC,Invest Cont,420.0,998.0,,,7800    MELBA                        AV,,"(34.2128, -118.6347)"
65953,796368,140108860,2014-03-15,2014-03-15,145,1,Central,152,624,BATTERY - SIMPLE ASSAULT,0416,25.0,M,H,735.0,NIGHT CLUB (OPEN EVENINGS ONLY),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,800    WILSHIRE                     BL,,"(34.0494, -118.2581)"
12874,1148838,151610280,2015-06-20,2015-06-19,2000,16,Foothill,1612,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,22.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,DE HAVEN                     AV,VAN NUYS                     BL,"(34.2754, -118.415)"
93767,1582989,171716977,2017-09-06,2017-09-06,1200,17,Devonshire,1754,624,BATTERY - SIMPLE ASSAULT,0400 0444 0429 0602,25.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,18500    MAYALL                       ST,,"(34.2533, -118.5361)"
28915,1259707,160600938,2016-05-06,2016-05-05,1355,6,Hollywood,645,440,THEFT PLAIN - PETTY ($950 & UNDER),0325 0344 0601,,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,6800    HOLLYWOOD                    BL,,"(34.1016, -118.3387)"
121452,1082471,151005614,2015-02-10,2015-02-10,1530,10,West Valley,1091,354,THEFT OF IDENTITY,0377 1822 0922,62.0,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,4500    TOTANA                       DR,,"(34.1513, -118.5619)"
69171,854981,140717716,2014-12-21,2014-12-19,1425,7,Wilshire,727,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,49.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,200 S  CITRUS                       AV,,"(34.0711, -118.3397)"
2329,118265,101318226,2010-08-05,2010-08-04,2300,13,Newton,1362,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,59.0,F,H,104.0,DRIVEWAY,,,IC,Invest Cont,420.0,,,,100 E  48TH                         ST,,"(33.9993, -118.274)"
120016,664665,121619171,2012-12-13,2012-12-13,1530,16,Foothill,1621,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",1100 1407 1300 0329,31.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,998.0,,,13800    MERCER                       ST,,"(34.2603, -118.4337)"
29033,405972,111019050,2011-11-22,2011-11-07,1500,10,West Valley,1063,946,OTHER MISCELLANEOUS CRIME,0347 0903,,M,B,101.0,STREET,511.0,VERBAL THREAT,IC,Invest Cont,946.0,,,,5200    CREBS                        AV,,"(34.1651, -118.5443)"
23452,667047,121707693,2012-03-09,2012-02-01,1200,17,Devonshire,1729,956,"LETTERS, LEWD",1202 1000,75.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956.0,,,,11200    ENCINO                       AV,,"(34.2745, -118.5153)"
35821,1073837,150907855,2015-03-19,2015-03-17,1200,9,Van Nuys,979,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,74.0,M,W,108.0,PARKING LOT,,,AA,Adult Arrest,420.0,,,,4600    COLDWATER CANYON             AV,,"(34.1536, -118.4181)"
24988,257119,100618352,2010-07-16,2010-07-15,2240,6,Hollywood,666,330,BURGLARY FROM VEHICLE,0344 1607,48.0,F,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,LEXINGTON,LAS PALMAS,"(34.0926, -118.3363)"
95648,575957,120718661,2012-12-09,2012-12-08,2100,7,Wilshire,722,510,VEHICLE - STOLEN,,11.0,,,104.0,DRIVEWAY,,,IC,Invest Cont,510.0,,,,6600    MARYLAND                     DR,,"(34.0677, -118.3708)"
47817,579379,120808289,2012-04-12,2011-07-15,1200,8,West LA,893,354,THEFT OF IDENTITY,1822,44.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,2700    SELBY                        AV,,"(34.037, -118.4221)"
112106,869279,140914785,2014-08-16,2014-08-16,30,9,Van Nuys,905,624,BATTERY - SIMPLE ASSAULT,0447 0444 0371 0906,16.0,M,H,108.0,PARKING LOT,306.0,ROCK/THROWN OBJECT,AO,Adult Other,624.0,,,,14600    SATICOY                      ST,,"(34.2085, -118.4504)"
117427,853465,140714845,2014-10-09,2014-10-08,1930,7,Wilshire,759,330,BURGLARY FROM VEHICLE,1300 0344,29.0,M,O,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330.0,,,,1200    WESTCHESTER                  PL,,"(34.0495, -118.3179)"
50426,965520,141916593,2014-08-02,2014-08-02,2140,19,Mission,1902,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0302,59.0,M,B,108.0,PARKING LOT,102.0,HAND GUN,IC,Invest Cont,230.0,,,,13500    GLENOAKS                     BL,,"(34.3174, -118.4624)"
47561,574036,120714654,2012-09-07,2012-09-07,1305,7,Wilshire,702,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,36.0,M,W,146.0,PATIO*,,,IC,Invest Cont,341.0,480.0,,,900 N  MARTEL                       AV,,"(34.0872, -118.3511)"
107936,1118148,151313848,2015-06-29,2015-06-28,2200,13,Newton,1375,510,VEHICLE - STOLEN,,14.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,HOOPER,56TH                         ST,"(33.9921, -118.2521)"
85221,192090,131305401,2013-01-26,2013-01-25,2345,13,Newton,1313,330,BURGLARY FROM VEHICLE,1609 1307 0377 0344,21.0,F,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,STANFORD,WASHINGTON                   BL,"(34.0268, -118.2555)"
154556,1076853,150913965,2015-07-22,2015-07-18,2100,9,Van Nuys,932,510,VEHICLE - STOLEN,,14.0,,,101.0,STREET,,,AA,Adult Arrest,510.0,,,,14700    SYLVAN                       ST,,"(34.1847, -118.4531)"
33379,1509908,171700673,2017-05-30,2017-05-28,1440,17,Devonshire,1707,310,BURGLARY,1202 1609 0344 0321,70.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,12600    JIMENO                       AV,,"(34.299, -118.5033)"
73785,1406996,162009320,2016-04-18,2016-04-17,1700,20,Olympic,2038,441,THEFT PLAIN - ATTEMPT,1237 1251,29.0,M,J,252.0,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",,,IC,Invest Cont,441.0,,,,3100    WILSHIRE                     BL,,"(34.0618, -118.2891)"
134482,722140,171912320,2017-05-30,2012-11-23,2300,19,Mission,1908,510,VEHICLE - STOLEN,,11.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,12800    KISMET                       AV,,"(34.3041, -118.4135)"
109986,557151,120517459,2012-10-06,2012-10-05,2200,5,Harbor,525,510,VEHICLE - STOLEN,,11.0,,,101.0,STREET,,,JA,Juv Arrest,510.0,,,,MCDONALD,E,"(33.7751, -118.2712)"
31443,916151,141412160,2014-04-22,2014-04-22,630,14,Pacific,1437,310,BURGLARY,0344,43.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,3500    TILDEN                       AV,,"(34.0204, -118.42)"
13856,664732,121619311,2012-12-17,2012-12-17,1845,16,Foothill,1684,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913,44.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,AO,Adult Other,930.0,,,,7800    LANKERSHIM                   BL,,"(34.2121, -118.3878)"
97760,823362,140325355,2014-12-11,2014-12-10,1200,3,Southwest,357,354,THEFT OF IDENTITY,1202 1822,81.0,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,1100 W  37TH                         ST,,"(34.021, -118.292)"
16169,754896,131714260,2013-08-09,2013-08-09,2130,17,Devonshire,1753,330,BURGLARY FROM VEHICLE,0385 1822 0344,37.0,M,H,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,9900    MASON                        AV,,"(34.25, -118.5798)"
9172,579767,120809084,2012-05-02,2012-05-02,1230,8,West LA,813,510,VEHICLE - STOLEN,,11.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,600 N  BUNDY                        DR,,"(34.0709, -118.4767)"
84854,649072,121509391,2012-04-05,2012-03-15,2100,15,N Hollywood,1543,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344 0352,65.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,5300    CORTEEN                      PL,,"(34.1669, -118.4019)"
50605,638326,121410082,2012-03-26,2012-03-25,1200,14,Pacific,1469,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,24.0,M,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,740.0,,,,5700 W  CENTINELA                    AV,,"(33.9765, -118.381)"
71500,176477,101914106,2010-05-29,2010-05-29,1230,19,Mission,1985,510,VEHICLE - STOLEN,,,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,8300    VAN NUYS                     BL,,"(34.2216, -118.4488)"
77224,1565061,171517143,2017-08-17,2017-08-10,100,15,N Hollywood,1581,330,BURGLARY FROM VEHICLE,1302 1605 0352 0344,65.0,F,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,4100    RHODES                       AV,,"(34.1452, -118.403)"
132953,1296357,160920717,2016-11-22,2016-11-21,1930,9,Van Nuys,989,330,BURGLARY FROM VEHICLE,0344 0321,44.0,F,O,104.0,DRIVEWAY,,,IC,Invest Cont,330.0,,,,4100    WOODMAN                      AV,,"(34.1448, -118.4306)"
34677,1366423,161606020,2016-02-21,2016-02-21,300,16,Foothill,1653,624,BATTERY - SIMPLE ASSAULT,1305 0408,29.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,12700    OSBORNE                      ST,,"(34.2542, -118.4095)"
155934,1483264,171205693,2017-01-23,2017-01-23,900,12,77th Street,1258,310,BURGLARY,1609 0329 0344 0360,42.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,100 W  74TH                         ST,,"(33.9728, -118.2739)"
146523,429636,111229040,2011-12-19,2011-12-19,1200,12,77th Street,1268,624,BATTERY - SIMPLE ASSAULT,1258 0913 0408 0319 0361 0603 1251,,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,8400    WALL                         ST,,"(33.9628, -118.2717)"
90014,1149066,151610725,2015-07-02,2015-07-02,2230,16,Foothill,1615,624,BATTERY - SIMPLE ASSAULT,0913 0416,22.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,624.0,,,,11700    FOOTHILL                     BL,,"(34.2754, -118.3904)"
44374,230140,100317728,2010-07-15,2010-07-13,1400,3,Southwest,354,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,35.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,EXPOSITION,7TH,"(34.0205, -118.3248)"
127711,1426205,170904021,2016-12-31,2016-12-30,2200,9,Van Nuys,989,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1606,48.0,M,W,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,420.0,,,,4300    MAMMOTH                      AV,,"(34.1483, -118.4326)"
123529,1089362,151019077,2015-12-22,2015-12-01,1600,10,West Valley,1091,440,THEFT PLAIN - PETTY ($950 & UNDER),0394,50.0,F,W,119.0,"PORCH, RESIDENTIAL",,,IC,Invest Cont,440.0,,,,5000    CALVIN                       AV,,"(34.1606, -118.5574)"
88469,1256466,160514780,2016-08-22,2016-08-22,1320,5,Harbor,531,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0352 0325,,X,X,405.0,CLOTHING STORE,,,IC,Invest Cont,442.0,,,,1700    PCH,,"(33.7895, -118.3076)"
61755,128971,131120389,2013-11-19,2013-11-12,1200,11,Northeast,1102,956,"LETTERS, LEWD",0319,27.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956.0,,,,4000    GARDEN                       AV,,"(34.1241, -118.2675)"
47989,1236527,160319338,2016-08-20,2016-08-20,1,3,Southwest,329,624,BATTERY - SIMPLE ASSAULT,0416 1822 1251,21.0,M,W,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,2800 S  FIGUEROA                     ST,,"(34.0262, -118.2772)"
143568,73371,130916578,2013-09-08,2013-09-07,1700,9,Van Nuys,969,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,28.0,F,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,12600    RIVERSIDE                    DR,,"(34.1576, -118.4074)"
56909,555433,120514164,2012-07-23,2012-07-23,1500,5,Harbor,562,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2000 1813 0913 0445 0319,54.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",213.0,CLEAVER,AO,Adult Other,230.0,,,,1200 S  LELAND                       ST,,"(33.7334, -118.3012)"
53184,1345478,161412443,2016-04-26,2016-04-26,1730,14,Pacific,1437,330,BURGLARY FROM VEHICLE,1608,29.0,F,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,11100    PALMS                        BL,,"(34.02, -118.4207)"
15723,1185366,152008270,2015-03-28,2015-03-28,1930,20,Olympic,2081,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2002 1206 0416 0913,44.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",212.0,BOTTLE,AO,Adult Other,230.0,,,,1800 S  WESTERN                      AV,,"(34.0418, -118.3134)"
45701,61700,130808048,2013-04-10,2013-04-09,1800,8,West LA,824,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1300,42.0,F,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,400 W  RUSTIC                       RD,,"(34.0321, -118.5175)"
139660,57315,130715503,2013-09-24,2013-09-18,800,7,Wilshire,747,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,51.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341.0,,,,1100 S  TREMAINE                     AV,,"(34.0556, -118.3379)"
105571,119863,131115983,2013-08-19,2013-08-16,1400,11,Northeast,1116,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,44.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,5000    ALDAMA                       ST,,"(34.1118, -118.2073)"
69041,511578,112117873,2011-10-15,2011-10-15,500,21,Topanga,2158,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,51.0,F,W,104.0,DRIVEWAY,,,IC,Invest Cont,740.0,,,,6100    DE SOTO                      AV,,"(34.181, -118.5904)"
147481,1488763,171216677,2017-06-23,2017-06-21,1000,12,77th Street,1203,310,BURGLARY,1202 1607 0344 1204,70.0,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,1800 W  47TH                         ST,,"(34.001, -118.3113)"
54377,1218501,160129134,2016-12-08,2016-12-08,1245,1,Central,156,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 1218 2004,32.0,M,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,500 S  SAN PEDRO                    ST,,"(34.0437, -118.2455)"
158280,1252324,160506864,2016-03-07,2016-02-26,1700,5,Harbor,503,320,"BURGLARY, ATTEMPTED",0329,62.0,M,O,406.0,OTHER STORE,,,IC,Invest Cont,320.0,,,,25000    BROADWELL                    AV,,"(33.7978, -118.2928)"
78558,169765,101819956,2010-10-03,2010-10-03,1400,18,Southeast,1826,210,ROBBERY,0305 0336 0346 0400,20.0,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,1600 E  103RD                        ST,,"(33.9433, -118.2462)"
117297,1330092,161228376,2016-11-25,2016-11-24,2100,12,77th Street,1265,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,15.0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,1000 W  85TH                         ST,,"(33.961, -118.2919)"
38085,823753,140326038,2014-12-22,2014-12-18,1700,3,Southwest,333,354,THEFT OF IDENTITY,1501,24.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,2800    SOMERSET                     DR,,"(34.0312, -118.3374)"
14189,1482298,171200506,2017-01-06,2017-01-06,1645,12,77th Street,1211,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,0342 0416 0445 0552 0553,,F,B,501.0,SINGLE FAMILY DWELLING,301.0,BELT FLAILING INSTRUMENT/CHAIN,IC,Invest Cont,235.0,,,,5100    CHESLEY                      AV,,"(33.99, -118.3344)"
74369,274958,100816744,2010-10-15,2010-10-15,1045,8,West LA,833,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0422 0429 0444 0913,57.0,M,W,104.0,DRIVEWAY,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,10800    WILSHIRE                     BL,,"(34.0599, -118.4397)"
45858,273246,100812906,2010-07-21,2010-07-15,1130,8,West LA,832,434,FALSE IMPRISONMENT,1501,71.0,F,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,434.0,,,,11500    SAN VICENTE                  BL,,"(34.0526, -118.4607)"
17684,1542427,170615991,2017-07-19,2017-07-19,800,6,Hollywood,632,330,BURGLARY FROM VEHICLE,0344 1605 0386,37.0,F,W,104.0,DRIVEWAY,,,IC,Invest Cont,330.0,,,,2100    BEECH KNOLL                  RD,,"(34.1099, -118.3756)"
149348,1085617,151011949,2015-07-13,2015-07-13,100,10,West Valley,1043,510,VEHICLE - STOLEN,,14.0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,5900    RESEDA                       BL,,"(34.1769, -118.5384)"
121043,185817,102015244,2010-06-22,2010-06-22,1000,20,Olympic,2079,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1609,43.0,F,A,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,740.0,,,,1500 S  VERMONT                      AV,,"(34.0453, -118.2916)"
110485,1054947,150705419,2015-02-02,2015-02-01,1400,7,Wilshire,721,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,54.0,M,B,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230.0,,,,BEVERLY                      BL,LA CIENEGA                   BL,"(34.0761, -118.3766)"
98284,1404914,162005536,2016-01-30,2016-01-30,2115,20,Olympic,2019,440,THEFT PLAIN - PETTY ($950 & UNDER),0321 0344,,F,H,301.0,GAS STATION,,,AO,Adult Other,440.0,,,,3600    BEVERLY                      BL,,"(34.0749, -118.2868)"
17993,1116335,151310034,2015-04-17,2015-04-12,2000,13,Newton,1367,624,BATTERY - SIMPLE ASSAULT,0913 0416 2002 0444 1206 0429,55.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,1600 E  52ND                         ST,,"(33.9957, -118.2456)"
81152,255991,100614943,2010-05-31,2010-05-30,2200,6,Hollywood,668,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0302 0319,26.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",114.0,AIR PISTOL/REVOLVER/RIFLE/BB GUN,AO,Adult Other,230.0,998.0,,,5500    FERNWOOD                     AV,,"(34.0958, -118.3092)"
77674,349293,110404407,2011-01-10,2011-01-10,830,4,Hollenbeck,417,624,BATTERY - SIMPLE ASSAULT,0408 0400 0602 0913 1814 2000,28.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624.0,,,,4000 N  MISSION                      RD,,"(34.0778, -118.1938)"
157928,59867,130801664,2013-12-06,2013-12-06,1230,8,West LA,889,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,30.0,F,W,103.0,ALLEY,,,IC,Invest Cont,745.0,,,,2000 S  BEDFORD                      ST,,"(34.0416, -118.3836)"
108329,915285,141409986,2014-03-22,2014-03-21,500,14,Pacific,1494,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1501,35.0,F,H,212.0,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,440.0,,,,600    WORLD                        WY,,"(33.943, -118.4035)"
68202,600302,121015147,2012-08-27,2012-08-26,2155,10,West Valley,1025,860,BATTERY WITH SEXUAL CONTACT,0551 0448 0369 0444,23.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860.0,,,,18300    VANOWEN                      ST,,"(34.1939, -118.5317)"
55501,699220,122013069,2012-06-27,2012-06-27,1810,20,Olympic,2069,210,ROBBERY,0344 0416 1402 1026 0346 0446 0305 0380 0429,32.0,M,W,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210.0,998.0,,,WESTMORELAND                 AV,11TH                         ST,"(34.0508, -118.2891)"
14693,290068,101118510,2010-08-27,2010-08-24,1,11,Northeast,1184,510,VEHICLE - STOLEN,,,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,1400 W  SUNSET                       BL,,"(34.0742, -118.2519)"
149416,770277,131908405,2013-03-16,2013-03-15,1200,19,Mission,1915,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,12.0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,14300    BERG                         ST,,"(34.3039, -118.4457)"
37359,1249986,160418680,2016-12-12,2016-09-03,830,4,Hollenbeck,424,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,,X,X,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,440.0,,,,2000    LINCOLN PARK                 AV,,"(34.0678, -118.2024)"
